input_text,target_text
"Day: Thursday, Time: 15:00 - 18:00, Score: 80
Hourly: 01(45), 01(41), 01(53), 01(51), 02(39), 02(53), 02(58), 02(46), 03(52), 03(42), 03(59), 03(54), 04(49), 04(68), 04(57), 04(60), 05(49), 05(75), 05(48), 05(84), 06(71), 06(85), 06(85), 06(61), 07(59), 07(71), 07(75), 07(51), 08(69), 08(65), 08(80), 08(83), 09(62), 09(82), 09(76), 09(68), 10(62), 10(72), 10(70), 10(94), 11(80), 11(62), 11(82), 11(65), 12(76), 12(79), 12(69), 12(83), 13(77), 13(84), 13(78), 13(69), 14(90), 14(84), 14(82), 14(90), 15(71), 15(91), 15(78), 15(77), 16(79), 16(82), 16(85), 16(84), 17(80), 17(91), 17(71), 17(75), 18(68), 18(75), 18(84), 18(84), 19(73), 19(81), 19(86), 19(84), 20(71), 20(83), 20(82), 20(66), 21(76), 21(65), 21(71), 21(81), 22(57), 22(71), 22(80), 22(73), 23(81), 23(66), 23(61), 23(61)
Daily Avg: 70.8, Peak: 15(91)","The 15:00 - 18:00 slot on Thursday delivers 80/100 engagement, reaching users during end-of-workday checks.
Traceback:
- Peak: 15:00 (91), +29% vs daily avg (70.8)
- vs Evening 18:00 - 21:00 (avg 78.1): +3% improvement
- vs Late Morning 09:00 - 12:00 (avg 72.9): +10% improvement"
"Day: Sunday, Time: 12:00 - 15:00, Score: 86
Hourly: 01(48), 01(33), 02(62), 02(40), 03(55), 03(34), 04(46), 04(70), 05(80), 05(69), 06(68), 06(61), 07(62), 07(73), 08(71), 08(91), 09(97), 09(86), 10(77), 10(85), 11(75), 11(86), 12(97), 12(87), 13(76), 13(99), 14(76), 14(79), 15(79), 15(76), 16(100), 16(84), 17(80), 17(80), 17(100), 18(68), 18(79), 18(89), 19(89), 19(69), 19(80), 20(67), 20(73), 20(80), 21(76), 21(71), 21(64), 22(76), 22(80), 22(74), 23(69), 23(57), 23(63)
Daily Avg: 73.7, Peak: 13(99)","The 12:00 - 15:00 slot on Sunday delivers 86/100 engagement, reaching users during lunch break research.
Traceback:
- Peak: 13:00 (99), +34% vs daily avg (73.7)
- vs Late Morning 09:00 - 12:00 (avg 84.3): +2% improvement
- vs Evening 18:00 - 21:00 (avg 77.1): +11% improvement"
"Day: Friday, Time: 15:00 - 18:00, Score: 82
Hourly: 01(48), 01(49), 01(58), 01(76), 02(36), 02(49), 02(55), 02(53), 03(65), 03(53), 03(40), 03(38), 04(56), 04(57), 04(43), 04(39), 05(59), 05(68), 05(61), 05(65), 06(72), 06(47), 06(60), 06(81), 07(69), 07(58), 07(61), 07(57), 08(66), 08(49), 08(69), 08(70), 09(69), 09(68), 09(68), 09(61), 10(95), 10(90), 10(68), 10(71), 11(77), 11(78), 11(76), 11(91), 12(72), 12(83), 12(94), 12(86), 13(78), 13(85), 13(81), 13(77), 14(72), 14(69), 14(83), 14(81), 15(70), 15(90), 15(83), 15(88), 16(71), 16(77), 16(98), 16(90), 17(67), 17(85), 17(85), 18(90), 18(81), 18(72), 19(69), 19(76), 19(80), 20(82), 20(79), 20(68), 21(85), 21(68), 22(61), 22(74), 23(59), 23(62)
Daily Avg: 69.6, Peak: 16(98)","Friday late afternoon captures users during afternoon break scrolling, with a commanding 82/100 engagement score.
Traceback:
- Peak: 16:00 (98), +41% vs daily avg (69.6)
- vs Afternoon 12:00 - 15:00 (avg 80.1): +3% improvement
- vs Evening 18:00 - 21:00 (avg 77.4): +6% improvement
- vs Late Morning 09:00 - 12:00 (avg 76.0): +8% improvement"
"Day: Saturday, Time: 15:00 - 18:00, Score: 84
Hourly: 01(76), 01(37), 02(62), 02(37), 03(64), 03(44), 04(73), 04(45), 05(90), 05(52), 06(78), 06(54), 07(85), 07(62), 08(83), 08(71), 09(68), 09(72), 10(83), 10(85), 11(69), 11(76), 12(66), 12(79), 13(73), 13(86), 14(78), 14(86), 15(87), 15(86), 16(79), 16(100), 17(79), 17(75), 18(72), 18(85), 19(83), 19(85), 20(75), 20(75), 21(68), 21(77), 22(65), 22(68), 23(57), 23(62)
Daily Avg: 72.0, Peak: 16(100)","Saturday's late afternoon window (15:00 - 18:00) shows strong performance with 84/100, capturing audiences during end-of-workday checks.
Traceback:
- Peak: 16:00 (100), +39% vs daily avg (72.0)
- vs Evening 18:00 - 21:00 (avg 79.2): +6% improvement
- vs Afternoon 12:00 - 15:00 (avg 78.0): +8% improvement
- vs Late Morning 09:00 - 12:00 (avg 75.5): +12% improvement"
"Day: Thursday, Time: 06:00 - 09:00, Score: 88
Hourly: 01(53), 01(44), 01(65), 01(64), 02(60), 02(55), 02(38), 02(63), 03(62), 03(48), 03(48), 03(33), 04(48), 04(43), 04(63), 04(52), 05(63), 05(66), 05(61), 05(83), 06(94), 06(88), 06(71), 06(84), 07(90), 07(92), 07(92), 07(77), 08(81), 08(100), 08(91), 08(91), 09(80), 09(88), 09(82), 09(91), 10(92), 10(75), 10(81), 10(84), 11(80), 11(84), 11(71), 11(72), 12(73), 12(62), 12(75), 12(72), 13(83), 13(74), 13(78), 13(63), 14(76), 14(76), 14(78), 14(66), 15(69), 15(61), 15(81), 15(73), 16(70), 16(76), 16(81), 16(74), 17(76), 17(76), 17(68), 17(81), 18(81), 18(63), 18(74), 18(72), 19(69), 19(97), 19(85), 19(82), 20(90), 20(87), 20(90), 20(71), 21(80), 21(70), 21(83), 21(87), 22(71), 22(64), 22(77), 22(84), 23(73), 23(74), 23(59), 23(63)
Daily Avg: 73.4, Peak: 08(100)","The 06:00 - 09:00 slot on Thursday delivers 88/100 engagement, reaching users during morning commute browsing.
Traceback:
- Peak: 08:00 (100), +36% vs daily avg (73.4)
- vs Late Morning 09:00 - 12:00 (avg 81.7): +7% improvement
- vs Evening 18:00 - 21:00 (avg 80.1): +9% improvement
- vs Late Afternoon 15:00 - 18:00 (avg 73.8): +19% improvement"
"Day: Friday, Time: 06:00 - 09:00, Score: 82
Hourly: 01(72), 01(67), 01(44), 01(53), 02(66), 02(41), 02(60), 02(51), 03(34), 03(54), 03(55), 03(42), 04(48), 04(43), 04(61), 04(65), 05(57), 05(57), 05(80), 05(77), 06(88), 06(66), 06(85), 06(70), 07(80), 07(97), 07(68), 07(88), 08(85), 08(86), 08(74), 08(98), 09(87), 09(86), 09(92), 09(71), 10(83), 10(84), 10(80), 10(61), 11(47), 11(72), 11(65), 11(69), 12(72), 12(63), 12(51), 12(73), 13(79), 13(57), 13(76), 13(74), 14(78), 14(54), 14(70), 14(73), 15(78), 15(66), 15(76), 15(55), 16(84), 16(54), 16(80), 17(54), 17(78), 17(80), 18(77), 18(81), 18(49), 19(90), 19(63), 19(70), 20(100), 20(60), 21(87), 21(64), 22(53), 22(81), 23(76), 23(52)
Daily Avg: 69.2, Peak: 08(98)","Friday's morning window (06:00 - 09:00) shows strong performance with 82/100, capturing audiences during early work breaks.
Traceback:
- Peak: 08:00 (98), +42% vs daily avg (69.2)
- vs Late Morning 09:00 - 12:00 (avg 74.8): +10% improvement
- vs Evening 18:00 - 21:00 (avg 73.8): +11% improvement
- vs Late Afternoon 15:00 - 18:00 (avg 70.5): +16% improvement"
"Day: Monday, Time: 18:00 - 21:00, Score: 78
Hourly: 01(45), 01(55), 02(44), 02(59), 03(41), 03(50), 04(39), 04(57), 05(47), 05(68), 06(52), 06(75), 07(60), 07(78), 08(59), 08(77), 09(61), 09(74), 10(60), 10(75), 11(84), 11(63), 11(68), 12(83), 12(57), 12(69), 13(69), 13(82), 13(62), 14(56), 14(80), 14(68), 15(72), 15(52), 15(83), 16(72), 16(57), 16(81), 17(57), 17(71), 17(78), 18(69), 18(59), 18(86), 19(77), 19(67), 19(97), 20(100), 20(84), 20(67), 21(76), 21(64), 21(96), 22(76), 22(79), 22(59), 23(68), 23(66), 23(50)
Daily Avg: 67.5, Peak: 20(100)","The 18:00 - 21:00 slot on Monday delivers 78/100 engagement, reaching users during post-dinner leisure time.
Traceback:
- Peak: 20:00 (100), +48% vs daily avg (67.5)
- vs Night 21:00 - 00:00 (avg 70.4): +11% improvement
- vs Afternoon 12:00 - 15:00 (avg 69.6): +13% improvement
- vs Late Morning 09:00 - 12:00 (avg 69.3): +13% improvement"
"Day: Tuesday, Time: 06:00 - 09:00, Score: 84
Hourly: 01(62), 01(44), 01(62), 02(55), 02(39), 02(57), 02(59), 03(61), 03(49), 03(38), 03(54), 04(51), 04(59), 04(45), 04(60), 05(66), 05(75), 05(53), 05(76), 06(77), 06(92), 06(81), 06(66), 07(90), 07(96), 07(86), 07(81), 08(80), 08(75), 08(95), 08(85), 09(97), 09(83), 09(79), 09(79), 10(79), 10(82), 10(91), 10(77), 11(84), 11(64), 11(78), 11(70), 12(71), 12(65), 12(68), 12(80), 13(79), 13(73), 13(87), 13(65), 14(75), 14(74), 14(68), 14(73), 15(64), 15(69), 15(66), 15(73), 16(68), 16(70), 16(65), 16(84), 17(65), 17(69), 17(74), 17(82), 18(85), 18(71), 18(70), 18(65), 19(86), 19(78), 19(81), 19(92), 20(82), 20(78), 20(86), 20(94), 21(75), 21(79), 21(93), 21(83), 22(83), 22(64), 22(84), 22(66), 23(71), 23(69), 23(55), 23(61)
Daily Avg: 72.6, Peak: 07(96)","Tuesday morning captures users during breakfast-time scrolling, with a commanding 84/100 engagement score.
Traceback:
- Peak: 07:00 (96), +32% vs daily avg (72.6)
- vs Evening 18:00 - 21:00 (avg 80.7): +4% improvement
- vs Late Morning 09:00 - 12:00 (avg 80.2): +4% improvement
- vs Night 21:00 - 00:00 (avg 73.6): +14% improvement"
"Day: Wednesday, Time: 06:00 - 09:00, Score: 84
Hourly: 01(62), 01(68), 01(49), 01(51), 02(63), 02(61), 02(52), 02(46), 03(48), 03(46), 03(53), 03(41), 04(55), 04(39), 04(52), 04(48), 05(72), 05(79), 05(59), 05(63), 06(74), 06(89), 06(80), 06(90), 07(77), 07(87), 07(85), 07(83), 08(77), 08(77), 08(96), 08(96), 09(78), 09(85), 09(93), 09(75), 10(86), 10(83), 10(74), 10(80), 11(90), 11(75), 11(72), 11(72), 12(76), 12(74), 12(74), 12(69), 13(81), 13(71), 13(80), 13(77), 14(80), 14(69), 14(77), 14(70), 15(66), 15(66), 15(76), 15(78), 16(75), 16(67), 16(77), 16(79), 17(66), 17(67), 17(74), 17(77), 18(69), 18(80), 18(77), 18(75), 19(96), 19(90), 19(82), 19(86), 20(88), 20(93), 20(90), 20(82), 21(84), 21(83), 21(83), 21(90), 22(76), 22(78), 22(78), 22(71), 23(71), 23(59), 23(69), 23(70)
Daily Avg: 73.6, Peak: 08(96)","The 06:00 - 09:00 slot on Wednesday delivers 84/100 engagement, reaching users during breakfast-time scrolling.
Traceback:
- Peak: 08:00 (96), +30% vs daily avg (73.6)
- vs Late Morning 09:00 - 12:00 (avg 80.2): +5% improvement
- vs Night 21:00 - 00:00 (avg 76.0): +11% improvement"
"Day: Saturday, Time: 06:00 - 09:00, Score: 79
Hourly: 01(67), 01(46), 02(45), 02(69), 03(43), 03(53), 04(41), 04(62), 05(53), 05(86), 06(58), 06(98), 07(64), 07(97), 08(67), 08(92), 09(68), 09(92), 10(61), 10(90), 11(59), 11(84), 12(58), 12(82), 13(60), 13(86), 14(51), 14(85), 15(54), 15(80), 16(82), 16(58), 17(80), 17(52), 18(72), 18(56), 19(84), 19(60), 20(89), 20(63), 21(86), 21(64), 22(79), 22(62), 23(50), 23(74)
Daily Avg: 68.7, Peak: 06(98)","Saturday's morning window (06:00 - 09:00) shows strong performance with 79/100, capturing audiences during breakfast-time scrolling.
Traceback:
- Peak: 06:00 (98), +43% vs daily avg (68.7)
- vs Late Morning 09:00 - 12:00 (avg 75.7): +5% improvement
- vs Evening 18:00 - 21:00 (avg 70.7): +12% improvement
- vs Afternoon 12:00 - 15:00 (avg 70.3): +13% improvement"
"Day: Sunday, Time: 06:00 - 09:00, Score: 82
Hourly: 01(59), 01(44), 02(52), 02(44), 03(47), 03(44), 04(47), 04(41), 05(73), 05(53), 06(91), 06(66), 07(100), 07(69), 08(97), 08(72), 09(67), 09(96), 10(71), 10(91), 11(60), 11(82), 12(63), 12(84), 13(62), 13(83), 14(57), 14(80), 15(85), 15(58), 16(57), 16(87), 17(55), 17(81), 18(67), 18(56), 19(60), 19(80), 20(64), 20(84), 21(59), 21(82), 22(58), 22(75), 23(67), 23(47)
Daily Avg: 67.8, Peak: 07(100)","Sunday morning captures users during morning commute browsing, with a commanding 82/100 engagement score.
Traceback:
- Peak: 07:00 (100), +47% vs daily avg (67.8)
- vs Late Morning 09:00 - 12:00 (avg 77.8): +6% improvement
- vs Afternoon 12:00 - 15:00 (avg 71.5): +15% improvement
- vs Late Afternoon 15:00 - 18:00 (avg 70.5): +17% improvement"
"Day: Friday, Time: 09:00 - 12:00, Score: 70
Hourly: 01(27), 01(17), 01(23), 02(20), 02(23), 02(25), 03(30), 03(24), 03(31), 04(34), 04(41), 04(42), 05(53), 05(49), 05(59), 06(57), 06(55), 06(60), 07(60), 07(75), 07(70), 08(83), 08(93), 08(66), 09(86), 09(84), 09(62), 10(61), 10(78), 10(77), 11(66), 11(54), 11(64), 12(58), 12(53), 12(59), 13(58), 13(50), 13(62), 14(63), 14(58), 14(48), 15(54), 15(52), 15(62), 16(57), 16(47), 16(52), 17(52), 17(50), 17(50), 18(47), 18(49), 18(49), 19(50), 19(60), 19(54), 20(55), 20(41), 21(51), 21(39), 22(42), 22(31), 23(36), 23(26)
Daily Avg: 51.8, Peak: 09(86)","Friday's late morning window (09:00 - 12:00) shows strong performance with 70/100, capturing audiences during pre-lunch browsing.
Traceback:
- Peak: 09:00 (86), +66% vs daily avg (51.8)
- vs Morning 06:00 - 09:00 (avg 68.8): +2% improvement
- vs Afternoon 12:00 - 15:00 (avg 56.6): +24% improvement
- vs Late Afternoon 15:00 - 18:00 (avg 52.9): +33% improvement"
"Day: Saturday, Time: 09:00 - 12:00, Score: 66
Hourly: 01(27), 01(19), 02(26), 02(20), 03(30), 03(21), 04(43), 04(32), 05(56), 05(49), 06(59), 06(51), 07(68), 07(67), 08(78), 08(70), 09(67), 09(77), 10(59), 10(72), 11(55), 11(66), 12(48), 12(55), 13(43), 13(55), 14(42), 14(53), 15(52), 15(39), 16(39), 16(54), 17(41), 17(50), 18(49), 18(41), 19(44), 19(51), 20(38), 20(46), 21(34), 21(41), 22(29), 22(36), 23(29), 23(23)
Daily Avg: 46.6, Peak: 09(77)","The 09:00 - 12:00 slot on Saturday delivers 66/100 engagement, reaching users during mid-morning work breaks.
Traceback:
- Peak: 09:00 (77), +65% vs daily avg (46.6)
- vs Morning 06:00 - 09:00 (avg 65.5): +1% improvement
- vs Afternoon 12:00 - 15:00 (avg 49.3): +34% improvement
- vs Late Afternoon 15:00 - 18:00 (avg 45.8): +44% improvement"
